Model_ID,Runtime_ID,ModelName
4,1,StackedEnsemble20190421230946
4,1,StackedEnsembleBestOfFamilyAutoML20190421230946
1,1,GLMgrid1AutoML20190421230946model1
2,1,GBMgrid1AutoML20190421230946model4
2,1,GBMgrid1AutoML20190421230946model3
5,1,DeepLearning1AutoML20190421230946
2,1,GBMgrid1AutoML20190421230946model5
2,1,GBMgrid1AutoML20190421230946model2
3,1,DRF1AutoML20190421230946
5,1,DeepLearninggrid1AutoML20190421230946model1
2,1,GBMgrid1AutoML20190421230946model1
6,1,XRT1AutoML20190421230946
2,1,GBM5AutoML20190421230946
2,1,GBM1AutoML20190421230946
2,1,GBM2AutoML20190421230946
2,1,GBM3AutoML20190421230946
2,1,GBM4AutoML20190421230946
4,2,StackedEnsembleBestOfFamilyAutoML20190422233034
4,2,StackedEnsembleAllModelsAutoML20190422233034
1,2,GLMgrid1AutoML20190422233034model1
5,2,DeepLearning1AutoML20190422233034
5,2,DeepLearninggrid1AutoML20190422233034model1
3,2,DRF1AutoML20190422233034
2,2,GBMgrid1AutoML20190422233034model2
6,2,XRT1AutoML20190422233034
2,2,GBM1AutoML20190422233034
2,2,GBM2AutoML20190422233034
2,2,GBM5AutoML20190422233034
5,2,DeepLearninggrid1AutoML20190422233034model2
2,2,GBM3AutoML20190422233034
2,2,GBM4AutoML20190422233034
5,2,DeepLearninggrid1AutoML20190422233034model3
2,2,GBMgrid1AutoML20190422233034model1
4,3,StackedEnsembleBestOfFamilyAutoML20190423001614
4,3,StackedEnsembleAllModelsAutoML20190423001614
1,3,GLMgrid1AutoML20190423001614model1
5,3,DeepLearninggrid1AutoML20190423001614model1
2,3,GBMgrid1AutoML20190423001614model4
2,3,GBMgrid1AutoML20190423001614model1
5,3,DeepLearning1AutoML20190423001614
2,3,GBMgrid1AutoML20190423001614model2
3,3,DRF1AutoML20190423001614
5,3,DeepLearninggrid1AutoML20190423001614model4
6,3,XRT1AutoML20190423001614
2,3,GBMgrid1AutoML20190423001614model5
2,3,GBM1AutoML20190423001614
2,3,GBM5AutoML20190423001614
2,3,GBM2AutoML20190423001614
2,3,GBM4AutoML20190423001614
2,3,GBM3AutoML20190423001614
5,3,DeepLearninggrid1AutoML20190423001614model2
2,3,GBMgrid1AutoML20190423001614model3
2,3,GBMgrid1AutoML20190423001614model6
5,3,DeepLearninggrid1AutoML20190423001614model3
